run,task,optimizer,projector,projection,effective_projection,switched_at_step,step,loss,elapsed_sec,chi_k_grad,chi_k_grad_ema,epoch_time_sec,epoch_time_sec_avg,subspace_usefulness/rho,accuracy,update/projection,update/raw_update_norm,update/projected_update_norm,update/alignment,update/eigvals,validation/loss,validation/accuracy,projector/subspace_pct,seed,run_label
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,1,1.0180481672286987,0.007247700003063073,,,0.007247700003063073,0.007247700003063073,,0.2199999988079071,none,0.15380877256393433,0.15380877256393433,1.0,,0.9421494344711304,0.1307,,67,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,20,0.8893186983309294,1.028656200000114,,,1.021408499997051,0.514328100000057,,0.3400000035762787,none,0.03901604935526848,0.03901604935526848,1.0,,0.8605340803146362,0.2232,,67,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,40,0.8483142673969268,2.1184418000011647,,,1.0897856000010506,0.7061472666670549,,0.2800000011920929,none,0.030849147588014603,0.030849147588014603,1.0,,0.8301824584960937,0.2982,,67,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,60,0.8159358561038971,3.1875592000033066,,,1.069117400002142,0.7968898000008267,,0.35999998450279236,none,0.037903960794210434,0.037903960794210434,1.0,,0.8185274140357971,0.3339,,67,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,80,0.8104006201028824,4.285515300001862,,,1.0979560999985551,0.8571030600003724,,0.3799999952316284,none,0.036309607326984406,0.036309607326984406,1.0,,0.7900590677261352,0.3724,,67,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,100,0.7887821882963181,5.354772500002582,,,1.0692572000007203,0.8924620833337636,,0.3799999952316284,none,0.029559576883912086,0.029559576883912086,1.0,,0.7812456607818603,0.3825,,67,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,120,0.7579336524009704,6.535324000000401,,,1.1805514999978186,0.9336177142857716,,0.47999998927116394,none,0.031212052330374718,0.031212052330374718,1.0,,0.764386344242096,0.4162,,67,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,140,0.7667486280202865,7.5161712000008265,,,0.9808472000004258,0.9395214000001033,,0.4399999976158142,none,0.03601795434951782,0.03601795434951782,1.0,,0.771652021598816,0.4184,,67,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,160,0.7556937217712403,8.591957500000717,,,1.0757862999998906,0.9546619444445241,,0.47999998927116394,none,0.031128788366913795,0.031128788366913795,1.0,,0.7538804996490478,0.4445,,67,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,180,0.7425999045372009,9.579456200001005,,,0.9874987000002875,0.9579456200001004,,0.5,none,0.0411418192088604,0.0411418192088604,1.0,,0.743438224029541,0.4548,,67,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,200,0.7329695582389831,10.60621700000047,,,1.0267607999994652,0.9642015454545881,,0.5,none,0.0330815464258194,0.0330815464258194,1.0,,0.7400160965919494,0.4523,,67,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,220,0.713771852850914,11.71136220000335,,,1.1051452000028803,0.9759468500002791,,0.47999998927116394,none,0.03536536172032356,0.03536536172032356,1.0,,0.7362102485656739,0.47,,67,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,240,0.7014874339103698,12.732594700002664,,,1.0212324999993143,0.9794303615386665,,0.5,none,0.035885896533727646,0.035885896533727646,1.0,,0.7332673471450806,0.4696,,67,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,260,0.7026474237442016,13.755953300002147,,,1.023358599999483,0.9825680928572963,,0.4399999976158142,none,0.034698113799095154,0.034698113799095154,1.0,,0.7174449123382568,0.4829,,67,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,280,0.7058246731758118,14.750586000001931,,,0.9946326999997837,0.9833724000001287,,0.5399999618530273,none,0.03464231267571449,0.03464231267571449,1.0,,0.711855263710022,0.4866,,67,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,300,0.7075819671154022,15.75170000000071,,,1.001113999998779,0.9844812500000444,,0.5399999618530273,none,0.03369404748082161,0.03369404748082161,1.0,,0.7052222743988037,0.512,,67,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,320,0.6656670063734055,16.82719780000116,,,1.0754978000004485,0.9898351647059505,,0.6399999856948853,none,0.03449336066842079,0.03449336066842079,1.0,,0.7017773247718812,0.5094,,67,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,340,0.661875057220459,17.87880000000223,,,1.0516022000010707,0.9932666666667905,,0.5999999642372131,none,0.03314085677266121,0.03314085677266121,1.0,,0.69511103515625,0.5016,,67,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,360,0.6773966819047927,18.882273900002474,,,1.0034739000002446,0.9938038894738144,,0.6200000047683716,none,0.033646631985902786,0.033646631985902786,1.0,,0.6905435933113098,0.5203,,67,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,380,0.6662110686302185,19.88607250000132,,,1.003798599998845,0.994303625000066,,0.5199999809265137,none,0.03557850047945976,0.03557850047945976,1.0,,0.6903485054969788,0.5048,,67,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,400,0.6610214084386825,20.870938600000954,,,0.9848660999996355,0.9938542190476645,,0.6399999856948853,none,0.031840767711400986,0.031840767711400986,1.0,,0.6833385256767273,0.5159,,67,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,420,0.6350830227136612,21.94741140000042,,,1.0764727999994648,0.9976096090909281,,0.6399999856948853,none,0.03215595334768295,0.03215595334768295,1.0,,0.6924590905189514,0.518,,67,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,440,0.6418647021055222,23.094064900000376,,,1.1466534999999567,1.004089778260886,,0.5,none,0.03410962224006653,0.03410962224006653,1.0,,0.6970449675559998,0.4954,,67,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,460,0.6350095093250274,24.174384500001906,,,1.0803196000015305,1.0072660208334128,,0.7199999690055847,none,0.035012733191251755,0.035012733191251755,1.0,,0.6715570230484009,0.5423,,67,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,480,0.61705661714077,25.179308500002662,,,1.0049240000007558,1.0071723400001065,,0.6200000047683716,none,0.03424105793237686,0.03424105793237686,1.0,,0.6707058547973633,0.5327,,67,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,500,0.6283997476100922,26.156229400003213,,,0.9769209000005503,1.0060088230770465,,0.6399999856948853,none,0.03421073779463768,0.03421073779463768,1.0,,0.6650288255691529,0.547,,67,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,520,0.6079064905643463,27.149684200001502,,,0.9934547999982897,1.0055438592593149,,0.7199999690055847,none,0.039897140115499496,0.039897140115499496,1.0,,0.669730694770813,0.5363,,67,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,540,0.602285835146904,28.18091710000226,,,1.0312329000007594,1.0064613250000807,,0.6399999856948853,none,0.03761477768421173,0.03761477768421173,1.0,,0.6736483749389648,0.5344,,67,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,560,0.6123042047023773,29.295746500003588,,,1.1148294000013266,1.0101981551725374,,0.6599999666213989,none,0.034761663526296616,0.034761663526296616,1.0,,0.6732902227401734,0.5376,,67,baseline
