run_label,step,loss,accuracy,chi_k_grad,chi_k_grad_ema,subspace_usefulness/rho,projector/subspace_pct,validation/loss,validation/accuracy,loss/std,accuracy/std,chi_k_grad/std,chi_k_grad_ema/std,subspace_usefulness/rho/std,projector/subspace_pct/std,validation/loss/std,validation/accuracy/std
baseline,1,1.0523407061894734,0.14666666463017464,,,,,0.9474882597923279,0.1073,0.03318559112778865,0.08082903756979004,0.0,0.0,0.0,0.0,0.010961435827392443,0.0202711617821969
baseline,20,0.8937580951473169,0.2800000011920929,,,,,0.8646552805582681,0.21583333333333332,0.0039040509115316454,0.06000000238418579,0.0,0.0,0.0,0.0,0.005761812164103217,0.027500242423173893
baseline,40,0.8471111625432969,0.3399999936421712,,,,,0.8334364886601766,0.2984,0.011938220081494023,0.12165524727432384,0.0,0.0,0.0,0.0,0.014671464974363264,0.0407003685486999
baseline,60,0.8181001106897989,0.2733333210150401,,,,,0.8190192726453146,0.32033333333333336,0.008184959513222468,0.10263202189724459,0.0,0.0,0.0,0.0,0.0010663491437524447,0.013858691616936016
baseline,80,0.8073324879010518,0.3933333257834117,,,,,0.7953442197799682,0.36136666666666667,0.0065535102470342345,0.04163332562050807,0.0,0.0,0.0,0.0,0.006635573235100408,0.018165993871333715
baseline,100,0.7945646643638611,0.43333332737286884,,,,,0.7810548206965128,0.38870000000000005,0.008500408460777065,0.1101514186295634,0.0,0.0,0.0,0.0,0.010799961463790425,0.016782133356638557
baseline,120,0.7675847719113031,0.5066666603088379,,,,,0.7717988553682963,0.4051666666666667,0.010884306701353617,0.1026320383521299,0.0,0.0,0.0,0.0,0.006471520047272049,0.010339406817285663
baseline,140,0.7578565259774526,0.46666664878527325,,,,,0.7616850289662679,0.4223333333333333,0.01167222224738235,0.1222020060456284,0.0,0.0,0.0,0.0,0.011496185207568198,0.019302935873419205
baseline,160,0.7479004422823587,0.4066666563351949,,,,,0.756218667825063,0.4353666666666667,0.00834755325587346,0.11015140149423673,0.0,0.0,0.0,0.0,0.006526395951276502,0.02197301375172129
baseline,180,0.7448858728011448,0.4466666579246521,,,,,0.7424943429311117,0.4469666666666667,0.0020107570874570726,0.0611010095262149,0.0,0.0,0.0,0.0,0.00521221401423398,0.010603930089044037
baseline,200,0.730960272749265,0.4399999976158142,,,,,0.7345664163907369,0.4477333333333333,0.010145044625465557,0.08717797435831337,0.0,0.0,0.0,0.0,0.00861089982822866,0.007227954989714135
baseline,220,0.7089721679687501,0.5266666611035665,,,,,0.7254595925649007,0.4702,0.016946957126808937,0.08082904663386459,0.0,0.0,0.0,0.0,0.013637084894784088,0.013701094846763143
baseline,240,0.7043437838554382,0.5533333321412405,,,,,0.7272282683054606,0.47000000000000003,0.012720047233602193,0.1101514186295634,0.0,0.0,0.0,0.0,0.013005102180546438,0.01450413734077281
baseline,260,0.6987656344970068,0.5599999825159708,,,,,0.7146373461087544,0.47763333333333335,0.01735268453468623,0.10583004162893411,0.0,0.0,0.0,0.0,0.013931055824988393,0.015869572563031863
baseline,280,0.6991259862979252,0.5866666436195374,,,,,0.7084690861066183,0.4894,0.008920055914819423,0.08082906384024346,0.0,0.0,0.0,0.0,0.009559046056799117,0.014504137340772804
baseline,300,0.7039287815491359,0.5666666428248087,,,,,0.7148863991101583,0.4791666666666667,0.0034787919079037203,0.06429101174845811,0.0,0.0,0.0,0.0,0.016927575635022583,0.03796107655656428
