run,task,optimizer,projector,projection,effective_projection,switched_at_step,step,loss,elapsed_sec,chi_k_grad,chi_k_grad_ema,epoch_time_sec,epoch_time_sec_avg,subspace_usefulness/rho,accuracy,update/projection,update/raw_update_norm,update/projected_update_norm,update/alignment,update/eigvals,validation/loss,validation/accuracy,projector/subspace_pct,seed,run_label
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,400,0.6845794945955277,19.91818919999787,,,1.001168199996755,0.9484851999998986,,0.5199999809265137,none,0.034561388194561005,0.034561388194561005,1.0,,0.6944669409751892,0.4845,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,420,0.6606086075305939,20.87403429999904,,,0.9558451000011701,0.9488197409090472,,0.5,none,0.04113304242491722,0.04113304242491722,1.0,,0.7110634874343872,0.4734,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,440,0.6550524294376373,21.927824800000963,,,1.0537905000019236,0.9533836869565636,,0.5,none,0.034624237567186356,0.034624237567186356,1.0,,0.6988497921943665,0.4895,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,460,0.6694152355194092,22.992142299997795,,,1.0643174999968323,0.9580059291665748,,0.5799999833106995,none,0.03520899638533592,0.03520899638533592,1.0,,0.6908101890563965,0.5043,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,480,0.666687986254692,24.01701139999932,,,1.0248691000015242,0.9606804559999728,,0.7199999690055847,none,0.03350308537483215,0.03350308537483215,1.0,,0.6846382452011108,0.5056,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,500,0.6380098134279251,25.033997499998804,,,1.0169860999994853,0.9628460576922617,,0.5600000023841858,none,0.042406413704156876,0.042406413704156876,1.0,,0.6788771136283874,0.5154,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,520,0.6419066458940506,26.06328130000111,,,1.029283800002304,0.9653067148148559,,0.5600000023841858,none,0.039308249950408936,0.039308249950408936,1.0,,0.6802630365371705,0.512,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,540,0.6371903598308564,28.393851099997846,,,2.330569799996738,1.0140661107142088,,0.4399999976158142,none,0.03694313019514084,0.03694313019514084,1.0,,0.6810137252807618,0.5215,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,560,0.6218210875988006,31.166548900000635,,,2.7726978000027884,1.0747085827586427,,0.699999988079071,none,0.04459190368652344,0.04459190368652344,1.0,,0.6719002820968628,0.5243,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,580,0.6391154557466507,33.77440849999766,,,2.6078595999970275,1.1258136166665886,,0.5399999618530273,none,0.04068639129400253,0.04068639129400253,1.0,,0.6766476325035096,0.5267,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,600,0.6325485140085221,36.486719299999095,,,2.7123108000014327,1.176990945161261,,0.4599999785423279,none,0.03228885307908058,0.03228885307908058,1.0,,0.6687320922851563,0.5328,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,620,0.6075899422168731,38.31929699999819,,,1.8325776999990921,1.1974780312499433,,0.6599999666213989,none,0.038030143827199936,0.038030143827199936,1.0,,0.676546808719635,0.5254,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,640,0.5888939470052719,39.36299189999772,,,1.0436948999995366,1.1928179363635674,,0.6599999666213989,none,0.03630618005990982,0.03630618005990982,1.0,,0.6666773910522461,0.532,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,660,0.6150858134031296,40.41630339999756,,,1.053311499999836,1.1887148058822812,,0.6200000047683716,none,0.046627867966890335,0.046627867966890335,1.0,,0.6762187025070191,0.5291,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,680,0.6178633719682693,41.454372899999726,,,1.038069500002166,1.1844106542857065,,0.5600000023841858,none,0.03741733357310295,0.03741733357310295,1.0,,0.6758397396087646,0.521,,42,baseline
